SourceV	Current	Voltage
105951.2836	9.4383E-5	10
105634.54672	9.4666E-5	10
105228.82007	9.5031E-5	10
104838.28694	9.5385E-5	10
104485.56532	9.5707E-5	10
104109.18972	9.6053E-5	10
103842.15992	9.63E-5	10
103552.9	9.6569E-5	10
103233.26589	9.6868E-5	10
102988.73303	9.7098E-5	10
102852.08841	9.7227E-5	10
102524.14444	9.7538E-5	10
102271.44888	9.7779E-5	10
101970.06159	9.8068E-5	10
101676.64792	9.8351E-5	10
101364.36434	9.8654E-5	10
100951.97714	9.9057E-5	10
100624.88051	9.9379E-5	10
100308.95157	9.9692E-5	10
100090.08107	9.991E-5	10
99820.32342	1.0018E-4	10
99462.90034	1.0054E-4	10
99196.50828	1.0081E-4	10
98970.70467	1.0104E-4	10
98706.9391	1.0131E-4	10
98415.51028	1.0161E-4	10
98116.16954	1.0192E-4	10
97866.51008	1.0218E-4	10
97599.06305	1.0246E-4	10
97370.98345	1.027E-4	10
97125.09713	1.0296E-4	10
96880.44953	1.0322E-4	10
96618.35749	1.035E-4	10
96329.83335	1.0381E-4	10
96079.93851	1.0408E-4	10
95840.52137	1.0434E-4	10
95574.88292	1.0463E-4	10
95319.79792	1.0491E-4	10
95075.10934	1.0518E-4	10
94777.74618	1.0551E-4	10
94491.16508	1.0583E-4	10
94277.364	1.0607E-4	10
94055.68096	1.0632E-4	10
93870.27128	1.0653E-4	10
93641.72675	1.0679E-4	10
93327.11153	1.0715E-4	10
92997.30308	1.0753E-4	10
92781.59213	1.0778E-4	10
92506.93802	1.081E-4	10
92225.39887	1.0843E-4	10
92055.60158	1.0863E-4	10
91886.42838	1.0883E-4	10
91701.05456	1.0905E-4	10
91499.67975	1.0929E-4	10
91407.67825	1.094E-4	10
91132.78046	1.0973E-4	10
90752.33687	1.1019E-4	10
90432.26623	1.1058E-4	10
90481.36084	1.1052E-4	10
90317.91907	1.1072E-4	10
89928.05755	1.112E-4	10
89678.05578	1.1151E-4	10
